Name,Phone,Address,City,State,PostalCode,Country,Rating,Reviews,Website,Yelp URL
Lily,(415) 742-5285,225 Clement St,San Francisco,CA,94118,US,4.5,313,https://www.lilyonclement.com,https://www.yelp.com/biz/lily-san-francisco?osq=Restaurants
KAIYÅŒ Rooftop,(415) 800-8141,701 3rd St Fl 12,San Francisco,CA,94105,US,4,443,https://kaiyosf.com/kaiyorooftop,https://www.yelp.com/biz/kaiy%C5%8D-rooftop-san-francisco-5?osq=Restaurants
Starbelly,(415) 252-7500,3583 16th St,San Francisco,CA,94114,US,4,2170,http://www.starbellysf.com?utm_medium=yext&utm_source=yext,https://www.yelp.com/biz/starbelly-san-francisco?osq=Restaurants
Fog Harbor Fish House,(415) 969-2010,39 Pier Ste a - 202,San Francisco,CA,94133,US,4.5,8868,https://fogharbor.com,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?osq=Restaurants
Mamahuhu,,3991 24th St,San Francisco,CA,94114,US,4,15,http://www.eatmamahuhu.com,https://www.yelp.com/biz/mamahuhu-san-francisco-3?osq=Restaurants
The Snug,,2301 Fillmore St,San Francisco,CA,94115,US,4,369,http://www.thesnugsf.com,https://www.yelp.com/biz/the-snug-san-francisco?osq=Restaurants
Kothai Republic,(415) 742-4058,1398 9th Ave,San Francisco,CA,94122,US,5,46,http://kothairepublic.com,https://www.yelp.com/biz/kothai-republic-san-francisco?osq=Restaurants
Marufuku Ramen,(415) 872-9786,1581 Webster St Ste 235,San Francisco,CA,94115,US,4.5,4389,http://marufukuramen.com,https://www.yelp.com/biz/marufuku-ramen-san-francisco-5?osq=Restaurants
Gao Viet Kitchen &amp; Bar,(415) 592-8090,1900 Irving St,San Francisco,CA,94122,US,4.5,92,https://gaokitchen.com,https://www.yelp.com/biz/gao-viet-kitchen-and-bar-san-francisco?osq=Restaurants
Savor,(415) 702-6048,401 Irving St,San Francisco,CA,94122,US,5,96,https://savor.menu,https://www.yelp.com/biz/savor-san-francisco-7?osq=Restaurants
Beit Rima,(415) 566-1274,86 Carl St,San Francisco,CA,94117,US,4.5,222,http://beitrimasf.com,https://www.yelp.com/biz/beit-rima-san-francisco-4?osq=Restaurants
Sweet Maple,(415) 655-9169,2101 Sutter St,San Francisco,CA,94115,US,4.5,4539,http://www.sweetmaplesf.com,https://www.yelp.com/biz/sweet-maple-san-francisco?osq=Restaurants
Sotto Mare,(415) 398-3181,552 Green St,San Francisco,CA,94133,US,4.5,4774,http://www.sottomaresf.com/,https://www.yelp.com/biz/sotto-mare-san-francisco-4?osq=Restaurants
Otra,(415) 500-2774,682 Haight St,San Francisco,CA,94117,US,4.5,124,https://www.otrasf.com,https://www.yelp.com/biz/otra-san-francisco-3?osq=Restaurants
Pearl,(415) 592-9777,6101 California St,San Francisco,CA,94121,US,4.5,405,http://www.pearl-sf.com,https://www.yelp.com/biz/pearl-san-francisco-8?osq=Restaurants
Nopa,(415) 864-8643,560 Divisadero St,San Francisco,CA,94117,US,4,5352,http://www.nopasf.com,https://www.yelp.com/biz/nopa-san-francisco?osq=Restaurants
The Laundromat,(415) 379-4340,3725 Balboa St,San Francisco,CA,94121,US,4.5,59,https://www.thelaundromatsf.com,https://www.yelp.com/biz/the-laundromat-san-francisco?osq=Restaurants
The Tailor&apos;s Son,(415) 673-7200,2049 Fillmore St,San Francisco,CA,94115,US,4,372,http://www.thetailorssonsf.com,https://www.yelp.com/biz/the-tailors-son-san-francisco?osq=Restaurants
JIJIME,(415) 221-5353,5524 Geary Blvd,San Francisco,CA,94121,US,4.5,533,http://www.jijime.com,https://www.yelp.com/biz/jijime-san-francisco-8?osq=Restaurants
Santeria,(415) 896-4496,2251 Market St,San Francisco,CA,94114,US,4.5,254,https://santeria-sf.com,https://www.yelp.com/biz/santeria-san-francisco?osq=Restaurants
The Italian Homemade Company,(415) 655-9325,1919 Union St,San Francisco,CA,94123,US,4.5,1151,http://www.italianhomemadecompany.com,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-6?osq=Restaurants
Wooden Spoon,(415) 946-3005,2172 Market St,San Francisco,CA,94114,US,4.5,585,http://www.woodenspoonsf.com,https://www.yelp.com/biz/wooden-spoon-san-francisco?osq=Restaurants
Bottega,(415) 655-9048,1132 Valencia St,San Francisco,CA,94110,US,4,561,https://www.bottegavalencia.com,https://www.yelp.com/biz/bottega-san-francisco-2?osq=Restaurants
Noodle in a Haystack,,4601 Geary Blvd,San Francisco,CA,94118,US,5,60,http://www.noodleinhaystack.com,https://www.yelp.com/biz/noodle-in-a-haystack-san-francisco?osq=Restaurants
Horsefeather,(415) 817-1939,528 Divisidero St,San Francisco,CA,94117,US,4,484,http://www.horsefeatherbar.com,https://www.yelp.com/biz/horsefeather-san-francisco-2?osq=Restaurants
Lokma,(415) 702-6263,1801 Clement St,San Francisco,CA,94121,US,4.5,607,http://www.lokmasf.com,https://www.yelp.com/biz/lokma-san-francisco?osq=Restaurants
Pinsa Rossa,(415) 922-4700,2101 Fillmore St,San Francisco,CA,94115,US,4.5,32,http://www.pinsarossa.com,https://www.yelp.com/biz/pinsa-rossa-san-francisco?osq=Restaurants
Automat,(415) 296-6680,1801 McAllister St,San Francisco,CA,94115,US,4,198,http://automatsf.com,https://www.yelp.com/biz/automat-san-francisco-2?osq=Restaurants
Dumpling House,(415) 829-2789,335 Noe St,San Francisco,CA,94114,US,4.5,404,http://dumplinghouse.us,https://www.yelp.com/biz/dumpling-house-san-francisco?osq=Restaurants
Jamie&apos;s Place,(415) 803-1888,1380 9th Ave,San Francisco,CA,94122,US,4.5,271,,https://www.yelp.com/biz/jamies-place-san-francisco?osq=Restaurants
